name,description,founded_year,funding_total_usd,funding_stage,founders,investors,categories,city,region,country,sector,website,linkedin_url,crunchbase_url,source_url,extraction_date,market_size_billion,cagr_percent,timing_score,competitor_count,market_stage,confidence_score_market,us_sentiment,sea_sentiment,total_funding_billion,momentum_score
bem,"Ambient AI computing layer for modern software, transforming any input into structured, real-time understanding",2023,3700000.0,seed,Antonio Bustamante|Upal Saha,Uncork Capital|Kevin Mahaffey|Garry Tan|Roar Ventures|Andrew Berberick,AI|Data Processing,,,United States,"""AI-Driven Document Data Extraction Solutions""",https://bem.ai,https://www.linkedin.com/company/bem-ai,https://www.crunchbase.com/organization/bem-5eb1,https://www.bem.ai/,2025-07-23 19:46:59.300530,0.0,0.0,0.0,0,unknown,0.35,5.0,4.8,0.0,0.0
Encultured AI,Encultured AI is a video game company focusing on the safe introduction of AI technologies into the game world.,2021,6044996.5,series_a,Andrew Critch|Nick Hay,,AI|jobs recruitment,San Francisco,California,United States,"""AI-Driven Recruitment and Talent Acquisition Solutions""",https://www.encultured.ai/,http://www.linkedin.com/company/encultured-ai,https://www.crunchbase.com/organization/encultured-ai,https://app.dealroom.co/companies/encultured_ai,2025-07-23 19:47:09.259703,2.8,18.0,4.5,40,growth,0.85,4.6,4.3,1.2,4.2
Pano,"Pano uses deep learning AI and computer vision to automatically detect, verify and classify wildfire events in real time.",2020,48500000.0,series_b,Sonia Kastner,Valor Equity Partners|Quiet Capital|Salesforce Ventures|Giant Ventures|Bossa Invest,AI|disaster management|climate resilience,San Francisco,California,United States,"""AI-Driven Climate Resilience Disaster Management Solutions""",https://www.pano.ai,https://www.linkedin.com/company/pano-ai,https://www.crunchbase.com/organization/pano-e50a,https://climatebase.org/company/1131709/pano-ai,2025-07-23 19:47:51.208960,3.2,13.5,3.8,15,unknown,0.85,4.0,3.5,0.9,3.7
Anyscale,"Anyscale accelerates the development and productionization of any AI app, on any cloud, at any scale.",2019,259000000.0,series_c,Robert Nishihara|Ion Stoica|Arjun Narayan|Michael I. Jordan|Philipp Moritz,Andreessen Horowitz|New Enterprise Associates|Foundation Capital|The House Fund|Ant Group,AI|Machine Learning|Distributed Computing,Berkeley,California,United States,"""Distributed Computing Solutions for AI Applications""",https://anyscale.com,https://www.linkedin.com/company/anyscale/,https://www.crunchbase.com/organization/anyscale,https://www.anyscale.com/about,2025-07-23 19:48:28.551642,3.2,35.0,4.5,15,early,0.85,4.3,3.8,0.8,4.2
AMP,AMP utilizes AI-powered sortation to enhance recycling efficiency and reduce costs.,2014,160533751.5,series_d,James Bailey|Matanya Horowitz,National Science Foundation|Sequoia Capital|Valor Equity Partners|Wellington Management|Closed Loop Partners,robotics|AI|recycling,Denver,Colorado,United States,"""AI-Driven Robotics for Waste Sorting Solutions""",https://ampsortation.com,https://www.linkedin.com/company/amp-sortation,https://www.crunchbase.com/organization/amp-robotics,https://venturebeat.com/ai/amp-robotics-raises-55-million-for-ai-that-picks-and-sorts-recyclables/,2025-07-23 19:48:39.954415,1.2,15.0,3.5,10,unknown,0.85,3.8,3.2,0.3,3.0
Unsupervised,Unsupervised is an automated analytics platform provider that finds hidden insights in complex data.,2017,44249610.0,series_b,Noah Horton|Tyler Willis,Cathay Innovation|Coatue|Signalfire|Eniac Ventures|Nextgen Venture Partners,AI|big data|analytics,Boulder,Colorado,United States,"""AI-Driven Business Data Analytics Solutions""",https://unsupervised.com/,https://www.linkedin.com/company/unsupervisedai/,https://www.crunchbase.com/organization/customer-science,https://venturebeat.com/ai/analytics-startup-unsupervised-raises-35m-to-spot-patterns-in-enterprise-data/,2025-07-23 19:48:51.936978,3.5,28.0,4.0,15,growth,0.85,4.2,3.8,1.2,3.8
CaliberMind,CaliberMind provides a B2B customer data platform for revenue marketers.,2016,11357939.5,series_a,Oren Zamir|Raviv Turner,Nvp Capital|Denver Ventures|Flashpoint|Boomtown Accelerators|Iag Capital Partners,AI|Revenue Analysis,Denver,Colorado,United States,"""AI-Driven Revenue Analytics Solutions for Enterprises""",http://www.calibermind.com,https://www.linkedin.com/company/calibermind/,https://www.crunchbase.com/organization/calibermind,https://venturebeat.com/ai/calibermind-which-analyzes-company-revenue-using-ai-lands-8m/,2025-07-23 19:49:04.685781,3.2,24.0,4.0,15,growth,0.85,4.3,3.8,1.0,3.8
Exer - More Than Urgent Care,Exer - More Than Urgent Care is a healthcare company that provides urgent care and medical treatment services.,2019,6500000.0,seed,Zaw Thet|Cherlin Johnson,,AI|Fitness|Health,,,United States,"""AI-Driven Home Fitness Coaching Technology""",http://exerurgentcare.com,https://www.linkedin.com/company/exer-urgent-care,https://www.crunchbase.com/organization/exer-more-than-urgent-care,https://venturebeat.com/ai/exer-launches-ai-based-fitness-coach-on-your-mobile-phone/,2025-07-23 19:49:16.025847,0.5,30.0,3.5,10,growth,0.85,3.8,3.2,0.3,3.7
Lunar Outpost,Lunar Outpost provides advanced spacecraft and robotics solutions for space missions.,2017,16804485.0,series_a,Justin Cyrus|Aj Gemer|Forrest Meyen|Julian Cyrus,Promus Ventures|Space Capital|Creative Destruction Lab (Cdl)|Industrious Ventures|Type One Ventures,Robotics|Space Technology,Colorado,Colorado,United States,"""Robotic Solutions for Space Exploration and Terrestrial Applications""",https://lunaroutpost.com,https://www.linkedin.com/company/lunaroutpost,https://www.crunchbase.com/organization/lunar-outpost,https://techcrunch.com/2022/07/13/lunar-outpost-eyes-up-first-mover-advantage-for-moon-markets/,2025-07-23 19:49:27.035956,0.5,15.0,3.5,10,unknown,0.85,3.8,3.2,0.3,3.0
Outrider,Outrider develops robotic software and systems to automate logistics hub operations.,2017,153000000.0,series_d,Andrew Smith,8Vc|New Enterprise Associates|Ark Investment Management|Nventures|Fm Capital,autonomous vehicles|logistics|AI,Golden,Colorado,United States,"""Autonomous Freight Yard Vehicle Automation Solutions""",https://www.outrider.ai,https://www.linkedin.com/company/outrider/,https://www.crunchbase.com/organization/outrider,https://venturebeat.com/ai/outrider-raises-53-million-to-develop-autonomous-truck-technology/,2025-07-23 19:49:38.810731,1.2,15.0,4.0,10,unknown,0.85,4.2,4.0,0.5,3.5
Dowork.ai,Revolutionize Your Customer Service with AI Agents,2020,,pre_seed,Mushegh Gevorgyan,Smartgatevc,AI|Customer Service,Middletown,Delaware,United States,"""AI-Driven Customer Service Automation Solutions""",https://dowork.ai/,https://www.linkedin.com/company/dowork-ai/,https://www.crunchbase.com/organization/dowork-ai,https://www.crunchbase.com/organization/dowork-ai,2025-07-23 19:50:07.618023,2.5,30.0,4.0,15,growth,0.85,4.2,3.8,0.8,4.1
Human AI,Creator of the only Generative AI in the world specialising in psychological data analytics and insights,2019,1904179.5,pre_seed,Suman Kanuganti|Ian Mclaren Wallace|Michelle Fogarty|Neil Fogarty,,AI|Blockchain,United States,,United States,"""Personalized AI Solutions with Blockchain Security""",https://humanai.work,,https://www.crunchbase.com/organization/litha-group,https://techcrunch.com/2021/01/13/human-ai-nabs-3-2m-seed-to-build-personal-intelligence-platform/,2025-07-23 19:50:20.731145,1.2,35.0,3.8,15,growth,0.85,3.5,3.2,0.5,3.7
Jasper,Jasper is an enterprise AI marketing platform.,2021,131000000.0,series_a,Dave Rogenmoser|John S. McDonald|Jared D. H.|Chris Hull|John Philip Morgan,Y Combinator|Insight Partners|Bessemer Venture Partners|Ivp|Stv,AI|Content Generation,Austin,Texas,United States,"""AI-Driven Content Creation and Optimization Solutions""",https://www.jasper.ai,https://www.linkedin.com/company/jasper-ai/,https://www.crunchbase.com/organization/jasper-ai,https://www.crunchbase.com/organization/jasper-ai/company_financials,2025-07-23 19:51:17.652077,1.5,25.0,4.8,10,growth,0.85,4.7,4.3,0.5,4.5
Capital,"Capital is a financial technology company that offers software to founders to raise, hold, spend, and send funds.",2019,9000000.0,seed,Jordi Hays|Sarah Chase,,AI|Fintech,,,United States,"""AI-Driven Non-Dilutive Financing Optimization Platform""",http://www.capital.xyz,https://www.linkedin.com/company/capitalxyz,https://www.crunchbase.com/organization/capital-45aa,https://techcrunch.com/2020/06/30/capital-raises-9m-for-its-ai-based-capital-as-a-service-funding-platform-for-startups/,2025-07-23 19:51:28.480298,0.0,0.0,0.0,0,unknown,0.35,4.2,4.0,0.0,0.0
Brain Technologies,Brain builds computers that think. It invents new technologies and design metaphors that allow computers to become an extension of our minds,2015,65500000.0,series_unknown,Jerry Yue,Goodwater Capital|Laurene Powell Jobs|Scott Cook|Wtt Investment,AI|Natural Language Processing,San Francisco,California,United States,"""Natural Language Processing for Voice Assistant Applications""",http://brain.ai,https://www.linkedin.com/company/brain-llc,https://www.crunchbase.com/organization/brain-llc,https://techcrunch.com/2021/07/28/brain-technologies-raises-50m-for-the-launch-of-natural-a-natural-language-search-engine-and-super-app/,2025-07-23 19:51:37.680163,1.2,30.0,3.5,15,growth,0.85,3.8,3.2,0.8,3.7
Aigora,"Aigora's goal is to enhance teams in sensory and consumer research, transforming the way that R&D and marketing operate.",2022,,,,,AI|NLP,Greater Boston Area,Massachusetts,United States,"""Personalized AI-driven Conversational Agents for Motivation""",https://www.aigora.ai,https://www.linkedin.com/company/aigora,https://www.crunchbase.com/organization/aigora-e16a,https://www.aigira.com/,2025-07-23 19:51:51.586892,0.3,20.0,3.5,10,growth,0.85,3.8,3.5,0.5,3.0
Autonodyne,Autonodyne is an aviation and aerospace service-based company.,2014,,,,,AI|Robotics,Boston,Massachusetts,United States,"""AI-Driven Unmanned Vehicle Control Systems""",https://www.autonodyne.com,https://www.linkedin.com/company/autonodyne-llc/,https://www.crunchbase.com/organization/autonodyne,https://www.autonodyne.ai/,2025-07-23 19:52:02.446494,2.1,15.0,3.8,15,unknown,0.85,3.9,3.5,0.8,3.7
