name,description,founded_year,funding_total_usd,funding_stage,founders,investors,categories,city,region,country,sector,website,linkedin_url,crunchbase_url,source_url,extraction_date,market_size_billion,cagr_percent,timing_score,competitor_count,market_stage,confidence_score_market,us_sentiment,sea_sentiment,total_funding_billion,momentum_score
Reflection.Ai,"Reflection.Ai is a start-up that develops artificial intelligence solutions, with a focus on computer vision.",2019,130000000.0,series_a,Misha Laskin|Ioannis Antonoglou,Sequoia Capital|Lightspeed Venture Partners|Sv Angel|Crv|Nventures,AI|Machine Learning,,,,"""Autonomous AI Coding Solutions for Software Development""",https://www.reflection.ai,https://www.linkedin.com/company/reflection-ai,https://www.crunchbase.com/organization/reflection-ai,https://www.bloomberg.com/news/articles/2025-03-07/ex-deepmind-researchers-new-startup-aims-for-superintelligence,2025-07-23 17:12:00.117392,0.5,35.0,3.5,10,growth,0.85,3.8,3.5,0.3,3.7
Factory,Factory specializes in creating an AI-driven platform designed to streamline computer coding and software engineering processes.,1992,20000000.0,series_a,Matan Grinberg|Eno Reyes,Sequoia Capital|Boxgroup|Lux Capital|Sv Angel|Abstract,AI|Software Engineering,San Francisco,California,United States,"""AI-Driven Software Engineering Automation Solutions""",https://www.factory.ai/,https://www.linkedin.com/company/factory-hq/,https://www.crunchbase.com/organization/factory-19d8,https://www.bloomberg.com/news/articles/2024-06-18/sequoia-backs-ai-startup-that-automates-engineering-tasks,2025-07-23 17:12:16.949801,0.3,20.0,3.5,10,growth,0.85,3.0,2.5,0.15,3.0
Dust,Dust is a modular technology platform that builds customized AI assistance to enhance and optimize workflows.,2023,18770088.0,series_a,Gabriel Hubert|Stanislas Polu,Sequoia Capital|Seedcamp|Xyz Venture Capital|Connect Ventures|Tiny Vc,AI|NLP,,,France,"""Custom AI Solutions for Enterprise Customer Engagement""",https://dust.tt/,https://www.linkedin.com/company/dust-tt,https://www.crunchbase.com/organization/dust-5f56,https://www.bloomberg.com/news/articles/2024-06-27/sequoia-leads-fundraising-in-dust-french-ai-startup-from-ex-openai-scientist?cmpid%3D=socialflow-twitter-tech&utm_content=tech&utm_medium=social&utm_campaign=socialflow-organic&utm_source=twitter,2025-07-23 17:12:46.368585,10.8,25.0,4.8,50,unknown,0.85,4.7,4.3,5.0,4.5
Sonde Health,Sonde Health is a digital medicine company.,2015,30250000.0,series_b,David Liu|Jim Harper|Jon Z Lin|Michael C. Chen|Michael Chen,Neom|Partners Investment|Puretech Health|M Ventures|Kt Corp,Health Tech|AI,,,,"""Voice-Based Health Screening Technology Solutions""",https://www.sondehealth.com,https://www.linkedin.com/company/sonde-health-inc./,https://www.crunchbase.com/organization/sonde-health,https://www.axios.com/pro/health-tech-deals/2022/12/08/sonde-health-19-million-series-b-vocal-disease-detection,2025-07-23 17:13:17.472331,0.3,20.0,3.5,10,growth,0.85,3.8,3.5,0.15,3.0
Capitol AI,"Capitol AI uses AI to create compelling narratives from data, aiding research, analysis, and content creation.",2021,500000.0,pre_seed,Shaun Modi|Tom Hallaran,Y Combinator|Rebel Fund|Network.Vc,AI|Content Creation,,,,"""AI-Driven Creative Content Generation Platform""",https://www.capitol.ai,https://www.linkedin.com/company/capitolai,https://www.crunchbase.com/organization/capitol-ai,https://www.producthunt.com/posts/capitol-ai,2025-07-23 17:15:16.049989,4.5,30.0,4.0,40,growth,0.85,4.2,3.8,1.2,4.3
SambaNova Systems,SambaNova Systems develops software and hardware for artificial intelligence and machine learning applications.,2017,598627343.0,series_d,Kunle Olukotun|Chris Ré|Rodrigo Liang|Christopher Ré,Blackrock|Temasek Holdings|Walden International|Softbank Vision Fund|Celesta Capital,AI|Hardware,,,,"""AI-Optimized Hardware for Machine Learning Applications""",https://sambanova.ai,https://www.linkedin.com/company/sambanova,https://www.crunchbase.com/organization/sambanova-systems,https://techcrunch.com/2018/03/15/the-red-hot-ai-chip-space-gets-even-hotter-with-56m-for-a-startup-called-sambanova/,2025-07-23 17:16:22.822382,1.5,30.0,4.5,10,growth,0.85,4.8,4.5,0.5,4.2
World Labs,World Labs develops AI models with spatial intelligence for 3D world perception and interaction.,2024,165000000.0,series_unknown,Fei-Fei Li|Ben Mildenhall|Christoph Lassner|Fei Fei Li|Justin Johnson,Andreessen Horowitz|New Enterprise Associates|Radical Ventures|Salesforce Ventures|Sound Ventures,AI|Computer Vision,,,,"""AI-Driven Computer Vision for 3D Data Interpretation""",https://www.worldlabs.ai,https://www.linkedin.com/company/world-labs,https://www.crunchbase.com/organization/world-labs,https://www.theverge.com/2024/7/17/24200496/ai-fei-fei-li-world-labs-andreessen-horowitz-radical-ventures,2025-07-23 17:16:53.209598,3.2,28.0,4.5,15,growth,0.85,4.7,4.3,1.1,4.2
Mechanize,A Web Based Interaction/Animation Development tool,2025,,,Tamay Besiroglu,,AI|Automation,,,,"""AI-Driven Workplace Automation Solutions""",http://mknzd.io,,https://www.crunchbase.com/organization/mechanize,https://www.inc.com/kit-eaton/this-startup-wants-to-end-the-ai-jobs-debate-by-eventually-stealing-everyones-jobs/91179012,2025-07-23 17:17:26.961184,0.0,0.0,5.0,0,unknown,0.48,4.5,4.0,0.0,5.0
Firsthand,Firsthand operates as an AI agent platform built for brands & publishers.,2024,29300000.0,series_a,Jon Heller|Michael Rubenstein|Sara Wallace|Wei Wei,Radical Ventures|Firstmark|Crossbeam Venture Partners|Aperiamventures|Brian O'Kelley,AI|Digital Advertising,New York,New York,United States,"""Generative AI for Digital Advertising Solutions""",https://www.firsthand.ai/,https://www.linkedin.com/company/firsthand-labs/,https://www.crunchbase.com/organization/firsthand-a04c,https://www.axios.com/2025/03/04/firsthand-brand-agents-marketers,2025-07-23 17:17:43.159782,0.8,35.0,4.5,15,early,0.85,4.7,4.3,0.5,4.2
Pax AI,"Pax uses AI to help retailers and manufacturers automate data processing, optimizing calculations, and streamlining claim submission",2024,4750000.0,seed,Penny Chen|Christopher Le,General Catalyst|Y Combinator|Initialized Capital|Z Venture Capital|Basis Set Ventures,AI|Finance,,,,"""AI-Driven Import Refund Automation Solutions""",https://paxai.com/,https://www.linkedin.com/company/getpaxai/,https://www.crunchbase.com/organization/pax-ai,https://www.axios.com/pro/fintech-deals/2025/04/07/pax-ai-turbotax-import-tax-tariff-war%20,2025-07-23 17:17:52.299812,11.0,10.5,4.2,15,unknown,0.85,4.5,4.0,1.2,3.8
Fazeshift,"Fazeshift is an AI accounts receivable software that offers automates invoicing, cash application, and collections processes for busineess.",2023,4250000.0,seed,Caitlin Leksana|Timmy Galvin,Y Combinator|Pioneer Fund|Wayfinder Ventures|Gradient|Kulveer Taggar,AI|Accounts Receivable,,,,"""AI-Driven Accounts Receivable Automation Solutions""",https://www.fazeshift.com,https://www.linkedin.com/company/fazeshift,https://www.crunchbase.com/organization/fazeshift,https://www.axios.com/pro/fintech-deals/2025/01/07/account-receivable-startup-fazeshift-4-million,2025-07-23 17:18:01.127773,3.2,18.0,4.0,15,growth,0.85,4.3,3.8,1.0,3.8
TaxGPT,TaxGPT uses artificial intelligence and tax information to automate tax filing.,2023,4850000.0,seed,Kashif Ali|Isabella Maceda-Ali|Isabella Ali,Y Combinator|Gaingels|Crv|Launch|Rebel Fund,AI|Fintech,,,,"""AI-Driven Tax Compliance Automation Solutions""",https://www.taxgpt.com,https://www.linkedin.com/company/taxgpt,https://www.crunchbase.com/organization/taxgpt,https://www.axios.com/pro/fintech-deals/2025/02/06/ai-tax-assistant-taxgpt-seed,2025-07-23 17:18:19.552220,3.2,15.0,4.5,18,unknown,0.85,4.3,3.8,1.2,4.2
Podqi,"Podqi is an artificial intelligence-powered platform that automates monitoring, takedown, and retroactive compensation for IP infringements.",2024,3200000.0,seed,Trevor West,General Catalyst|Afore Capital|Soma Capital,AI|IP Protection,,,,"""AI-Driven Intellectual Property Protection Solutions""",https://www.podqi.com/,https://www.linkedin.com/company/podqi/,https://www.crunchbase.com/organization/podqi,https://www.axios.com/pro/media-deals/2025/03/11/ip-protection-platform-podqi-seed-round,2025-07-23 17:18:31.323638,1.0,20.0,4.5,15,growth,0.85,4.5,4.0,0.5,4.0
Aina Software Inc.,"Aina Software Inc. develops AI-powered solutions for B2C & B2B, offering hyper-personalized beauty recommendations and routines.",2019,1200000.0,angel,Izza Masud|Daniel Jibouleau|Faisal Jamal|Sameer Salahudeen,,AI|Beauty Tech,,,,"""AI-Driven Personalized Beauty Product Recommendations""",https://www.aina.ai/about,https://www.linkedin.com/company/aina-software-inc/,https://www.crunchbase.com/organization/aina-software-inc,https://www.axios.com/pro/retail-deals/2024/07/08/aina-ai-seed-beauty-recommendation-app,2025-07-23 17:18:41.665804,1.2,20.0,4.0,15,growth,0.85,3.8,4.2,0.5,3.5
Bench,Bench is a fintech company that provides online bookkeeping services for small businesses.,2006,109381506.0,series_c,Gong Yuan|Adam Saint|Ian Crosby|Jordan Menashy|Pavel Rodionov,Techstars|Inovia Capital|Bain Capital Ventures|Notion Capital|Right Side Capital Management,AI|Benchmarking,,,China,"""AI Model Evaluation and Benchmarking Solutions""",http://bench.co,https://www.linkedin.com/company/benchaccounting/,https://www.crunchbase.com/organization/bench,https://www.technologyreview.com/2025/06/23/1119190/chinese-changing-ai-benchmarks/,2025-07-23 17:19:39.388416,0.15,20.0,3.5,10,growth,0.85,3.8,3.2,0.05,3.0
Tavus,"Tavus provides foundational video models for digital twins, as an API.",2020,21112500.0,series_a,Hassaan Raza|Quinn Favret,Y Combinator|Accel|Sequoia Capital|Lightspeed Venture Partners|Index Ventures,AI|Video|Generative AI,,,,"""AI-Driven Personalized Video Marketing Solutions""",https://www.tavus.io/,https://www.linkedin.com/company/tavus-io/,https://www.crunchbase.com/organization/tavus,https://www.theinformation.com/articles/a-sequoia-capital-backed-ai-video-startup-raises-nearly-20-million-eight-startups-taking-on-nvidia,2025-07-23 17:21:12.673358,0.5,30.0,3.5,10,growth,0.85,3.8,3.2,0.3,3.7
Cerebras Systems,"Cerebras Systems is an AI computing system company that provides deep learning applications, super computing, and cloud services.",2015,370000000.0,series_f,Andrew Feldman|Gary Lauterbach|Jean Philippe Fricker|Michael James|Sean Lie,Sequoia Capital|Eclipse Ventures|Coatue|Foundation Capital|Sv Angel,AI|Deep Learning|Hardware,,,,"""Deep Learning Hardware for AI Applications""",https://cerebras.ai,https://www.linkedin.com/company/cerebras-systems,https://www.crunchbase.com/organization/cerebras-systems,https://techcrunch.com/2016/12/19/a-stealthy-startup-called-cerebras-raised-around-25-million-to-build-deep-learning-hardware/,2025-07-23 17:21:56.397164,1.2,35.0,4.0,15,early,0.85,4.2,3.8,0.5,3.8
Surge AI,Surge AI is the world's most powerful data labeling platform for NLP.,2017,,,Edwin Chen,,AI|Data Labeling,,,,"""AI-Driven Data Labeling for Complex Datasets""",https://www.surgehq.ai,https://www.linkedin.com/company/surge-ai,https://www.crunchbase.com/organization/surge-ai-b4ea,https://www.inc.com/sam-blum/bootstrapped-to-1-billion-surge-ai-ceo-edwin-chen-on-how-he-did-it/91207937,2025-07-23 17:23:34.522600,1.2,20.0,3.8,15,growth,0.85,3.9,3.5,0.8,3.7
HereAfter AI,HereAfter AI is a mobile application to record life stories.,2019,,,James Vlahos,,AI|Generative AI|Digital Heritage,,,,"""AI-Driven Digital Legacy Interaction Platform""",https://www.hereafter.ai,https://www.linkedin.com/company/hereafter-ai/,https://www.crunchbase.com/organization/hereafter-ai,https://www.axios.com/local/denver/2024/10/25/ai-chatbots-dead-family-members-cu-boulder-google,2025-07-23 17:24:26.057588,0.5,20.0,4.5,10,growth,0.85,4.2,4.0,0.5,4.2
Memory Dealers,"Offers the largest selection of discounted and custom transceivers, memory, and hardware.",1999,,,,,,California,California,United States,"""High-Performance Computer Memory and Storage Solutions""",http://memorydealers.com/,,https://www.crunchbase.com/organization/www-memorydealers-com,https://www.siliconvalley.com/2024/12/04/bitcoin-jesus-lawyers-say-his-tax-case-violates-constitution/,2025-07-23 17:24:45.207717,3.5,15.0,3.8,40,unknown,0.85,3.5,3.0,0.5,3.5
Mantle Labs,Mantle Labs is a remote sensing company providing digital agriculture solutions related to crop monitoring.,2016,,undisclosed,Clement Atzberger|Rishikesh Sapre|Swapnil Baokar,,Agriculture|Machine Learning,,,,"""AI-Driven Precision Agriculture Solutions""",https://www.mantle-labs.com/index.html,https://www.linkedin.com/company/mantle-labs-limited/,https://www.crunchbase.com/organization/mantle-labs,https://venturebeat.com/using-machine-learning-to-tackle-the-worlds-biggest-problems/,2025-07-23 17:28:52.293327,1.2,20.0,3.5,15,growth,0.85,3.8,3.5,0.5,3.0
Twelve Labs,Twelve Labs is a video intelligence platform that uses AI to analyze and search through video content.,2021,107120000.0,series_unknown,Jae Lee|Aiden Lee|Dave Chung|Sj Kim|Soyoung Lee,Index Ventures|New Enterprise Associates|Techstars|Radical Ventures|Hubspot Ventures,AI|Video Intelligence,,,,"""AI-Driven Video Content Analysis Solutions""",http://twelvelabs.io,https://www.linkedin.com/company/twelvelabs,https://www.crunchbase.com/organization/twelve-labs-62b5,https://techcrunch.com/2025/05/20/twelve-labs-ceo-jae-lee-is-coming-to-techcrunch-sessions-ai/,2025-07-23 17:29:31.762681,3.2,20.1,4.3,18,growth,0.85,4.4,4.1,1.5,4.2
Glean,Glean develops an AI-based search engine software that connects enterprise data and generates answers to improve workplace efficiency.,2019,484100000.0,series_f,Arvind Jain|Piyush Prahladka|Prafful Goel|Sharvanath Pathak|Tony Gentilcore,General Catalyst|Citi|Khosla Ventures|Sequoia Capital|Craft Ventures,AI|NLP,,,,"""AI-Driven Internal Data Search Solutions""",https://www.glean.com,https://www.linkedin.com/company/gleanwork,https://www.crunchbase.com/organization/scio-technologies,https://www.theinformation.com/articles/startup-founded-ex-google-search-team-nears-2-billion-valuation,2025-07-23 17:30:31.921214,2.8,18.0,4.5,15,growth,0.85,4.7,4.2,1.2,4.3
Ideogram,Ideogram is an artificial intelligence startup that provides generative text-to-image technology.,2022,98228661.0,series_a,four former Google AI researchers|Mohmmad Norouzi,Andreessen Horowitz|Pear Vc|Golden Ventures|Aix Ventures|Index Ventures,AI|Image Generation,Toronto,Ontario,Canada,"""AI-Driven Image Generation from Text Descriptions""",https://ideogram.ai,https://www.linkedin.com/company/ideogram-ai,https://www.crunchbase.com/organization/ideogram,https://www.theinformation.com/articles/andreessen-horowitz-discussed-backing-a-midjourney-rival-seeking-500-million-valuation,2025-07-23 17:30:53.326183,0.5,40.0,4.0,15,early,0.85,4.2,3.8,0.8,4.3
Sierra,Sierra is an AI startup that tackles essential business challenges by leveraging enterprise AI solutions.,2023,230000000.0,series_unknown,Bret Taylor|Clay Bavor,Sequoia Capital|Conviction Partners|Thrive Capital|Iconiq Capital|Benchmark,AI|Customer Service,,,,"""AI-Driven Enterprise Customer Service Solutions""",https://sierra.ai,https://www.linkedin.com/company/sierra,https://www.crunchbase.com/organization/sierra-1124,https://www.axios.com/2025/03/04/rachel-whetstone-sierra-netflix-uber,2025-07-23 17:31:03.139545,3.2,25.0,4.8,40,growth,0.85,4.7,4.3,1.5,4.5
