company_name,description,short_description,website,founded_year,ai_focus,sector,funding_total_usd,funding_stage,city,region,country,founders,founders_count,investors,categories,linkedin_url,employee_count,revenue_millions,valuation_millions,last_funding_date,tech_stack,competitors,source_url,extraction_date,confidence_score,linkedin_profiles_found
Play AI,"Play AI lets anyone clone different kinds of voices that they can use for AI-powered use cases, such as customer service.",A voice-cloning startup that enables users to create AI-generated voice clones.,https://www.playai.com/,,NLP,Technology,23500000.0,,,,,,0,500 Global; Kindred Ventures; Race Capital; Soma Capital,AI; Voice Cloning,,,,,,,,https://techcrunch.com/2025/06/27/meta-in-talks-to-acquire-voice-cloning-startup-play-ai/,2025-07-11 11:51:31.633988,0.7633333333333332,2
Sakana AI,Sakana AI is a world-class AI research lab focused on exploring alternative approaches to foundation models that are more adaptive and resilient.,"Sakana AI is at the forefront of AI innovation, pushing the boundaries of AI research.",https://sakana.ai/,,foundation models,technology,,seed,,,,David Ha; Llion Jones,2,500 Global; Lux Capital; Khosla Ventures,AI; Machine Learning,,,,,,,,https://500.co/content/sakana-ai-investing-in-global-pioneers-in-ai,2025-07-11 11:51:40.088591,0.7633333333333332,6
DeepSeek,"DeepSeek is a startup that has developed R1, a reasoning large language model (LLM) that competes with major AI models from established companies.",DeepSeek is an AI startup that released a competitive large language model.,https://fortune.com/asia/2025/01/23/deepseek-ai-china-vs-openai-stargate/,,NLP,Technology,,,Hangzhou,,China,,0,High-Flyer,AI; Machine Learning,,,,,,,,https://fortune.com/asia/2025/03/30/deepseek-ai-china-us-silicon-valley/,2025-07-11 11:52:04.648776,0.7633333333333332,0
Snowcap Compute,"Snowcap Compute is a startup focused on developing artificial intelligence computing chips using superconducting technology, aiming to outperform existing AI systems while consuming significantly less electricity.",Snowcap Compute develops superconducting chips for AI applications.,,,AI computing,Technology,23000000.0,series-a,San Francisco,California,United States,Quentin Herr; Anna Herr; Mike Lafferty,3,Playground Global,AI; Hardware,,,,,,,,https://www.reuters.com/business/snowcap-compute-raises-23-million-superconducting-ai-chips-2025-06-23/,2025-07-11 11:52:19.599635,0.7633333333333332,5
Relevance AI,Relevance AI is a startup developing an AI agent 'operating system' to enable businesses to build teams of AI agents.,Relevance AI helps businesses create and manage AI agents for various roles.,https://relevanceai.com/,,AI agents,technology,24000000.0,series-b,San Francisco,California,United States,,0,Bessemer Venture Partners; King River Capital; Insight Partners; Peak XV,AI; Machine Learning,,,,,,,,https://techcrunch.com/2025/05/06/relevance-ai-raises-24m-series-b-to-help-anyone-build-teams-of-ai-agents/,2025-07-11 11:52:59.140910,0.7633333333333332,2
Patronus AI,"Patronus AI launched a new monitoring platform that automatically identifies failures in AI agent systems, targeting enterprise concerns about reliability as these applications grow more complex.",An AI safety startup providing solutions to monitor and optimize AI agent systems.,https://www.patronus.ai/,2025.0,AI agent reliability,Enterprise Software,,,San Francisco,California,United States,Anand Kannappan,1,,AI; AI Safety,,,,,,,,https://venturebeat.com/ai/patronus-ai-debuts-percival-to-help-enterprises-monitor-failing-ai-agents-at-scale/,2025-07-11 11:53:04.460430,0.7633333333333332,3
Palona AI,Palona AI offers a range of artificial intelligence technologies that boost D2C growth.,AI technologies for direct-to-consumer growth.,https://palona.ai/,,general AI technologies,technology,10000000.0,seed,Palo Alto,California,United States,,0,,AI; D2C,,,,,,,,https://www.crunchbase.com/organization/palona-ai,2025-07-11 11:53:10.965122,0.7633333333333332,1
Practicus AI,Practicus AI provides an AI platform designed to assist legal professionals by automating tasks and reducing burnout.,An AI platform that lightens the load for attorneys.,https://practicus.ai/,,NLP,legal,,seed,Seattle,Washington,United States,,0,,AI; Legal Tech,,,,,,,,https://www.crunchbase.com/organization/practicus-ai,2025-07-11 11:53:29.638715,0.77,1
Oumi,Oumi is a group of academics and developers dedicated to fostering greater transparency and cooperation in frontier AI.,Oumi focuses on transparency and cooperation in frontier AI.,https://oumi.ai/,2025.0,frontier AI,technology,10000000.0,seed,Seattle,Washington,United States,,0,Ascend; 7 other investors,Artificial Intelligence (AI),,,,,,,,https://www.crunchbase.com/organization/oumi,2025-07-11 11:53:35.466327,0.7633333333333332,2
Enkrypt AI,Achieve AI security & safety with a platform that detects and removes vulnerabilities and monitors performance for continuous insights.,A platform for AI security that identifies vulnerabilities and monitors performance.,https://www.enkryptai.com/,2025.0,AI security,technology,,seed,Boston,Massachusetts,United States,,0,,AI Security; Vulnerability Detection,,,,,,,,https://www.crunchbase.com/organization/enkrypt-ai,2025-07-11 11:53:54.236520,0.7633333333333332,2
BetterLungs.ai,BetterLungs.ai is a startup focused on leveraging artificial intelligence to improve lung health and respiratory care.,AI-driven solutions for lung health.,,2025.0,healthcare AI,healthcare,,,,,,,0,,AI; Healthcare,,,,,,,,https://pitchbook.com/profiles/company/510022-45,2025-07-11 11:53:59.181507,0.7633333333333332,0
Liquid AI,"Liquid AI is a foundation model startup that aims to advance AI technology beyond the Transformer architecture, focusing on developing convolution-based models for edge devices.",Liquid AI is revolutionizing AI for edge devices with its new Hyena Edge model.,,,NLP,Technology,,,Boston,Massachusetts,United States,,0,,AI; Machine Learning,,,,,,,,https://venturebeat.com/ai/liquid-ai-is-revolutionizing-llms-to-work-on-edge-devices-like-smartphones-with-new-hyena-edge-model/,2025-07-11 11:54:05.024760,0.7633333333333332,1
Agentuity,Agentuity is a technology company that develops cloud-based system to enable autonomous AI agents.,A tech company focused on cloud-based autonomous AI agents.,https://www.agentuity.com/,2025.0,autonomous agents,technology,,seed,Austin,Texas,United States,,0,,AI; cloud computing,,,,,,,,https://www.crunchbase.com/organization/agentuity,2025-07-11 11:54:21.559888,0.7633333333333332,2
Snowfire AI,"Snowfire AI is a pioneer in decision intelligence, offering a patent-pending adaptive AI platform designed for executives to leverage internal data and external intelligence for informed decision-making.",Snowfire AI provides an adaptive AI platform for executive decision-making.,https://www.snowfire.ai/,2025.0,Decision Intelligence,Enterprise Software,,,Austin,TX,USA,Greg Genung,1,,AI; Decision Intelligence,,,,,,,,https://www.reuters.com/press-releases/from-data-overload-to-boardroom-clarity-snowfire-ai-launches-first-adaptive-decision-intelligence-ai-platform-purpose-built-for-enterprise-executives-in-the-age-of-ai-2025-04-30/,2025-07-11 11:54:28.370826,0.7633333333333332,1
Autonomize AI,"Autonomize AI provides AI agents to health systems and plans, focusing on tasks like benefits verification, care planning, and chart review, utilizing a human-in-the-loop model for compliance and explainability.",Autonomize AI offers AI agents designed for healthcare systems to improve operational efficiency.,,,agentic AI,healthcare,28000000.0,series-a,Austin,Texas,United States,Ganesh Padmanabhan,1,Valtruis; Cigna Ventures; Tau Ventures; Asset Management Ventures; ATX Venture Partners; Capital Factory,AI; Healthcare,,,,,,,,https://axios.com/pro/health-tech-deals/2025/06/12/autonomize-ai-raises-28m-healthcare-agents,2025-07-11 11:54:33.599554,0.7633333333333332,2
WebAI,WebAI is an artificial intelligence platform that offers seamless integration of cloud-based services and local devices.,An AI platform for integrating cloud services with local devices.,https://www.webai.com/,,NLP,Technology,,series-a,Austin,Texas,United States,,0,,AI; Cloud Services,,,,,,,,https://www.crunchbase.com/organization/webai,2025-07-11 11:54:37.979348,0.7633333333333332,1
Moonvalley,"Moonvalley is an AI video-generation startup that offers a '3D-aware' model for filmmakers, allowing them to generate video clips with more control than standard text-to-video models.",Moonvalley provides a hybrid AI video generation model aimed at democratizing filmmaking.,https://techcrunch.com/2025/05/16/ai-video-startup-moonvalley-lands-53m-according-to-filing/,2025.0,computer vision,media and entertainment,53000000.0,series-a,Los Angeles,California,United States,former DeepMind researchers,1,,AI; video generation,,,,,,,,https://techcrunch.com/2025/07/08/moonvalleys-ethical-ai-video-model-for-filmmakers-is-now-publicly-available/,2025-07-11 11:54:46.924732,0.7633333333333332,8
Brighthive,"Brighthive is a fast-growing AI startup that provides a platform with seven data agents for enterprise agentic AI data analysis, orchestrating end-to-end data management and analysis workflows across all enterprise teams, regardless of their data skills.",Brighthive is an AI startup focused on enterprise data management and analysis.,https://www.brighthive.io/,,enterprise workflows,technology,,,Chicago,IL,USA,Suzanne H. EL-Moursi,1,,AI; Data Management,,,,,,,,https://www.reuters.com/press-releases/brighthive-co-founder-ceo-named-top-50-women-ceo-of-2025-2025-02-06/,2025-07-11 11:54:54.897618,0.7633333333333332,1
MagicSchool AI,"MagicSchool AI provides award-winning AI tools designed to assist educators and tackle teacher burnout, aiming to bring an AI assistant to every teacher in the world.",MagicSchool AI offers AI tools to support educators and enhance student engagement.,http://www.magicschool.ai/,,NLP,Education,,,Vernon Hills,Illinois,United States,Adeel Khan,1,,AI; Education Technology,,,,,,,,https://www.reuters.com/press-releases/lake-county-regional-office-of-education-roe-names-magicschool-ai-as-its-official-ai-platform-partner-2025-04-17/,2025-07-11 11:55:01.851970,0.77,2
Pronto Ai,"Pronto Ai is a video production company that provides video marketing, creation, production, and automation services.",Video production company specializing in video marketing and automation.,https://www.getpronto.ai/,,,Advertising,,,Denver,Colorado,United States,,0,,Advertising; Brand Marketing,,,,,,,,https://www.crunchbase.com/organization/pronto-ai-0909,2025-07-11 11:55:14.588633,0.7433333333333332,1
Karini AI,"Karini AI leads in enterprise Generative AI with its no-code platform for building, deploying, and managing apps securely and efficiently.",Karini AI provides a no-code platform for enterprise Generative AI applications.,https://www.karini.ai/,2025.0,Generative AI,Enterprise Software,,,Alpharetta,Georgia,United States,,0,,AI; Generative AI,,,,,,,,https://www.crunchbase.com/organization/karini-ai,2025-07-11 11:55:25.433562,0.77,2
Rogo,Rogo is a financial software company that provides innovative solutions for managing financial transactions and analytics.,Rogo offers financial software solutions for transaction management.,,2025.0,,fintech,,,,,,,0,,,,,,,,,,https://pitchbook.com/profiles/company/507301-75,2025-07-11 11:55:55.811290,0.7633333333333332,1
Cohere,"Enterprise AI startup Cohere has launched a new platform called North, which allows users to quickly deploy AI agents to execute tasks across various business sectors, significantly reducing task completion time.",Cohere provides a platform for deploying AI agents in business tasks.,,2025.0,NLP,enterprise software,,,,,,Ivan Zhang; Nick Frosst; Aidan Gomez,3,,AI; Enterprise AI,,,,,,,,https://www.businessinsider.com/cohere-ai-agents-for-businesses-2025-1,2025-07-11 11:56:02.520948,0.7633333333333332,3
Qurrent,"Qurrent has emerged as a game-changer, pioneering a unique approach to AI by building and managing tailored 'AI workforces' that drive consistent, measurable value.",Qurrent redefines AI adoption with custom AI workforces for real business impact.,https://qurrent.ai/,2025.0,AI workforce management,Technology,,,San Francisco,CA,USA,,0,,AI; Machine Learning,,,,,,,,https://www.reuters.com/press-releases/qurrent-redefines-ai-adoption-with-custom-ai-workforces-delivering-real-business-impact-2025-03-12/,2025-07-11 11:56:13.445152,0.7633333333333332,1
PIN AI,"PIN AI is a Bay Area-based AI startup that has launched a mobile application featuring a native large language model (LLM) designed to create a personalized intelligence network, accessing user-authorized personal data to provide tailored insights.",PIN AI offers a personal AI network through a mobile app that prioritizes user privacy and data security.,,,NLP,Technology,,,Bay Area,California,United States,Davide Crapis,1,,AI; Privacy; Mobile Applications,,,,,,,,https://www.fastcompany.com/91278338/pin-ai-encrypted-assistant-app-launch-llm,2025-07-11 11:56:31.294986,0.77,2
Devin,"Devin is an AI coding tool designed to autonomously manage coding tasks without user intervention, aiming to streamline the software development process.",An AI tool for autonomous coding task management.,https://devin.ai/,2025.0,NLP,Software Development,,,,,,,0,,AI; Coding Tools,,,,,,,,https://techcrunch.com/2025/05/20/openais-codex-is-part-of-a-new-cohort-of-agentic-coding-tools/,2025-07-11 11:56:52.275622,0.77,0
Anysphere Inc.,"Anysphere Inc. is the maker of Cursor, an AI-powered coding assistant that helps programmers by analyzing their actions and suggesting the next lines of code.","Anysphere Inc. develops Cursor, an AI-infused code editor for programmers.",,,NLP,Software,,,,,,Oskar Schulz,1,,AI; Software Development,,,,,,,,https://www.bloomberg.com/news/articles/2025-04-07/cursor-an-ai-coding-assistant-draws-a-million-users-without-even-trying,2025-07-11 11:56:56.989183,0.77,2
v0,An AI-powered platform for web creation that offers an AI model optimized for front-end and full-stack web development tasks.,v0 is an AI model designed for web development tasks.,https://vercel.com/docs/v0/api,2025.0,NLP,Technology,,,,,,,0,,AI; Web Development,,,,,,,,https://techcrunch.com/2025/05/22/vercel-debuts-an-ai-model-optimized-for-web-development/,2025-07-11 11:57:05.803471,0.7633333333333332,2
